publisher	country
Prism Comics	United States of America
Probe	United States of America
Psichogios Publications	Greece
Public Record Office Victoria	Australia
Publications de l'Université de Provence	France
PublishAmerica	United States of America
Publishers-Hall Syndicate	United States of America
Qom University of Medical Sciences	Iran
Quattro Books	Canada
Queen Anne Press	United Kingdom
Quinto Sol	United States of America
RCA Victrola	United States of America
Rabbit Software	United Kingdom
Radical Routes	United Kingdom
Radio Comix	United States of America
Ramble House	United States of America
Random House of Canada	Canada
Ray Society	United Kingdom
re.press	Australia
Reader's Digest Press	United States of America
Red Flag Publishing House	China
Alaf 21	Malaysia
Reed Publishing	New Zealand
Regional Information Center for Science and Technology	Iran
Religious Studies Center	United States of America
Resilience Alliance	Canada
Revisionist Press	United States of America
Rice University Press	United States of America
Rio Grande do Sul Federal Institute of Education, Science and Technology	Brazil
Robert Boyd Publications	United Kingdom
Standaard Uitgeverij	Belgium
Rocky Mountain Association of Geologists	United States of America
Q7365618	Malaysia
Rowman & Littlefield	United States of America
Royal Medical Society	United Kingdom
Royal Pharmaceutical Society of Great Britain	United Kingdom
Royal St. George's College	Canada
Saint Austin Press	United Kingdom
Saint Joseph's University Press	United States of America
Saint Thomas Aquinas University	Colombia
Sanata Dharma University	Indonesia
Instituto Federal de Santa Catarina	Brazil
Saqi Books	United Kingdom
Satya Wacana Christian University	Indonesia
School of Dental Medicine, University of Zagreb	Croatia
SciELO	Brazil
Scottish History Society	United Kingdom
Sebelas Maret University	Indonesia
Semnan University	Iran
Sepuluh Nopember Institute of Technology	Indonesia
Sergio Arboleda University	Colombia
Universitas Pasundan	Indonesia
Shasta Publishers	United States of America
Signet Press	India
Sigongsa	South Korea
Silicon Beach Software	United States of America
Sinclair-Stevenson Ltd	United Kingdom
Skirmisher Publishing	United States of America
Society for Disability Studies	United States of America
Society for Experimental Biology	United Kingdom
Society for History in the Federal Government	United States of America
Society for Irish Latin American Studies	France
Society for Judgment and Decision Making	United States of America
Society of Biblical Literature	United States of America
Society of Nuclear Medicine and Molecular Imaging	United States of America
Soegijapranata Catholic University	Indonesia
Sons and Daughters of Pioneer Rivermen	United States of America
Motor Trend Group	United States of America
South African Medical Association	South Africa
Southbound	Malaysia
Special Book Services	Brazil
St. Mary's University	Ethiopia
Stacey International	United Kingdom
Stair Society	United Kingdom
State University of Makassar	Indonesia
State University of Medan	Indonesia
State University of Norte Fluminense	Brazil
Padang State University	Indonesia
State University of West Paraná	Brazil
State University of Semarang	Indonesia
Sultan Ageng Tirtayasa University	Indonesia
Sunshine	Philippines
Surrey Record Society	United Kingdom
Swedenborg Society	United Kingdom
T. Fisher Unwin	United Kingdom
Tabriz University of Medical Sciences	Iran
Tamarind Books	United Kingdom
Tanjungpura University	Indonesia
Tanoshimi	United Kingdom
Tarbiat Modares University	Iran
Targum Press	Israel
Tartarus Press	United Kingdom
Tarumanagara University	Indonesia
Tate Publishing & Enterprises	Iceland
Teachers College	United States of America
Tehran University of Medical Sciences	Iran
Ten Speed Press	United States of America
Tennessee Native Plant Society	United States of America
Texas A&M University Libraries	United States of America
Thayer & Eldridge	United States of America
The Crime Club	United States of America
The Feminist Press	United States of America
The Gamers	United States of America
The Nicolaus Copernicus University Press	Poland
The Python Papers Anthology	Australia
The Social Contract Press	United States of America
The Upper Room	United States of America
Thomas Allen & Son Limited	Canada
Thomas Y. Crowell Co.	United States of America
Thoroton Society of Nottinghamshire	United Kingdom
Timescape Books	United States of America
Trafford Publishing	United States of America
Trailblazer	United Kingdom
Federal Rural University of Rio de Janeiro	Brazil
Trunojoyo University	Indonesia
Três Estrelas	Brazil
Tupelo Press	United States of America
UNCG University Libraries	United States of America
Universal-Tandem Publishing	United Kingdom
Autonomous University of Ciudad Juárez	Mexico
Universidad Externado de Colombia	Colombia
Universidad Juárez Autónoma de Tabasco	Mexico
Universidad Nacional de Itapúa	Paraguay
Universidad San Ignacio de Loyola	Peru
Universidad Técnica Estatal de Quevedo	Ecuador
Universidad del Norte, Colombia	Colombia
Universidade Católica Dom Bosco	Brazil
Universidade Católica de Brasília	Brazil
Universidade Católica de Pelotas	Brazil
Universidade Católica de Petrópolis	Brazil
Universidade Estadual do Paraná	Brazil
State University of Londrina	Brazil
Universidade Estadual de Maringá	Brazil
Federal University of Southern Frontier	Brazil
Federal University of Grande Dourados	Brazil
Federal Rural University of Pernambuco	Brazil
Universidade Federal Rural do Semi-Árido	Brazil
Federal University of Mato Grosso	Brazil
Universidade Federal de Goiás	Brazil
Federal University of Juiz de Fora	Brazil
Universidade Federal de Roraima	Brazil
Federal University of Pelotas	Brazil
Federal University of Rondônia	Brazil
Universidade Federal de Sergipe	Brazil
Federal University of Amapá	Brazil
Universidade Feevale	Brazil
Universidade Norte do Paraná	Brazil
Universidade Presbiteriana Mackenzie	Brazil
Universidade Positivo	Brazil
Universidade de Cruz Alta	Brazil
Universidade de Santa Cruz do Sul	Brazil
Universitas Terbuka	Indonesia
University College of Medical Sciences	India
University College of Northern Denmark	Denmark
University do Vale do Paraíba	Brazil
University of Agriculture Faisalabad	Pakistan
University of Babylon	Iraq
University of Birjand	Iran
University of British Columbia Library	Canada
University of Caldas	Colombia
University of California, Berkeley Libraries	United States of America
School of Social Ecology	United States of America
University of Camagüey	Cuba
University of Cartagena	Colombia
University of Central Florida Libraries	United States of America
University of Chicago Library	United States of America
University of Cuenca	Ecuador
University of Guilan	Iran
University of Houston Libraries	United States of America
University of La Sabana	Colombia
University of Magdalena	Colombia
University of Management and Technology	Pakistan
University of Maryland Libraries	United States of America
University of Massachusetts Medical School	United States of America
University of Matanzas	Cuba
University of Michigan Library	United States of America
University of Minnesota Libraries	United States of America
University of Mohaghegh Ardabili	Iran
University of North Texas Libraries	United States of America
University of Pattimura	Indonesia
University of Pinar del Río Hermanos Saíz Montes de Oca	Cuba
University of Religions and Denominations	Iran
University of Sarjanawiyata Tamansiswa in Yogyakarta	Indonesia
University of Tikrit	Iraq
University of Toronto Libraries	Canada
University of Washington Libraries	United States of America
University of Wisconsin-Milwaukee Libraries	United States of America
University of the Autonomous Regions of the Nicaraguan Caribbean Coast	Nicaragua
University of the Philippines Press	Philippines
Urban Books	United States of America
Van Leer Jerusalem Institute	Israel
Van Riebeeck Society	South Africa
Vertical	United States of America
Viterbo University	United States of America
Voice of India	India
W. T. Grant	United States of America
Watson-Guptill	United States of America
Welsh Manuscripts Society	United Kingdom
West Virginia University Libraries	United States of America
Western Australian Herbarium	Australia
Kadokawa Sneaker Bunko	Japan
Wiltshire Record Society	United Kingdom
Witherby Seamanship	United Kingdom
Word	United States of America
World Academy of Science, Engineering and Technology	Turkey
World Allergy Organization	United States of America
Wrecking Ball Press	United Kingdom
Wydawnictwo Ministerstwa Obrony Narodowej	Poland
Wydawnictwo Dolnośląskie	Poland
Wydawnictwo MAG	Poland
Wydawnictwo Uniwersytetu Jagiellońskiego	Poland
Yale Institute of Sacred Music	United States of America
Yeshivat Birkat Moshe	Israel
Yorkshire Archaeological and Historical Society	United Kingdom
Young Adult Library Services Association	United States of America
ZyX	Japan
Alianza Editorial	Spain
World Publishing Corporation, Ltd.	China
Provincial Council of Valencia	Spain
Edicions Documenta Balear	Spain
Edebe	Spain
Ediciones Destino	Spain
Edicions de Ponent	Spain
Editorial Universitaria de Buenos Aires	Argentina
Erbe Software S.A.	Spain
National Polytechnic School	Ecuador
Folio Society	United Kingdom
Fundación Esperanto	Spain
Sancho el Sabio Foundation	Spain
Ikusager	Spain
Institució Catalana de Genealogia i Heràldica	Spain
Natural Science Museum of Barcelona	Spain
Número	Uruguay
Q9063449	Spain
Public Relations Student Society of America	Argentina
Spanish Royal Society of Chemistry	Spain
SAREM	Argentina
Tentōmushi Comics	Japan
Q9089257	Spain
Autonomous University of Chile	Chile
Ean University	Colombia
National University Toribio Rodríguez de Mendoza	Peru
National University of Santiago del Estero	Argentina
National University of Villa María	Argentina
Q9137525	Poland
Q9142046	Poland
Wydawnictwo Albatros	Poland
Q9148673	Poland
Wydawnictwo Amber	Poland
Q9163449	Poland
Biały Kruk Sp. z o.o.	Poland
Library of Rzeszow University	Poland
Q9172290	Poland
Q9173857	Poland
Bogucki Wydawnictwo Naukowe	Poland
Q9182146	Poland
Q9196116	Poland
Correspondance des Arts	Poland
Q9199983	Poland
Dom Prasy	Poland
Q9209461	Poland
Dom Wydawniczy REBIS	Poland
Q9212271	Poland
Q9212276	Poland
Q9212282	Poland
Q9212283	Poland
Q9212288	Poland
Q9212520	Poland
Q9249895	Poland
Q9261028	Poland
Galakta	Poland
Gdańskie Wydawnictwo Psychologiczne	Poland
Gruner+Jahr Polska	Poland
Q9281433	Poland
Q9285869	Poland
Harcerska Oficyna Wydawnicza	Poland
Q9296307	Poland
Res Publica	Poland
Q9311307	Poland
Q9322801	Poland
Q9323310	Poland
Q9332239	Poland
Q9335287	Poland
Q9338205	Poland
Q9338591	Poland
Q9339161	Poland
Sonia Draga	Poland
"Wydawnictwo ""Sport i Turystyka"""	Poland
Studio JG	Poland
Q9348268	Poland
Wydawnictwo Słowo Prawdy	Poland
Q9353724	Poland
Q9353882	Poland
Q9355896	Poland
Q9358755	Poland
Universitas	Poland
Q9360566	Poland
Q9362109	Poland
Q9362222	Poland
Q9363535	Poland
Siedlce University of Natural Sciences and Humanities	Poland
Jets Comics	Japan
Q9370961	Poland
Q9372382	Poland
Q9376083	Poland
Q9379087	Poland
Q9379182	Poland
Wydawnictwo Adam Marszałek	Poland
Q9379186	Poland
Wydawnictwo Arkady	Poland
Q9379190	Poland
Q9379188	Poland
